Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
1fv9_v,3,2.839,0.9464,1.23039,0,0,3,0,0,0,Urokinase-type plasminogen activator,BLOOD CLOTTING,PLAU,UROK_HUMAN,Specifically cleave the zymogen plasminogen to form the active enzyme plasmin.,NONE,Angiogenesis disorder;Ulcer;Cancer;Lung embolism;Restenosis;Metastasis;Skin ulcer;Cardiovascular disease
1ogs_v,3,2.734,0.9113,1.00885,0,3,0,0,0,0,Glucosylceramidase,HYDROLASE,TGFBR2,GLCM_HUMAN,NONE,"Defects in GBA are the cause of Gaucher disease (GD) [MIM:230800]; also known as glucocerebrosidase deficiency. GD is the most prevalent lysosomal storage disease, characterized by accumulation of glucosylceramide in the reticulo-endothelial system. Different clinical forms are recognized depending on the presence (neuronopathic forms) or absence of central nervous system involvement, severity and age of onset.;Defects in GBA are the cause of Gaucher disease type 1 (GD1) [MIM:230800]; also known as adult non-neuronopathic Gaucher disease. GD1 is characterized by hepatosplenomegaly with consequent anemia and thrombopenia, and bone involvement. The central nervous system is not involved.;Defects in GBA are the cause of Gaucher disease type 2 (GD2) [MIM:230900]; also known as acute neuronopathic. GD2 is the most severe form and is universally progressive and fatal. It manifests soon after birth, with death generally occurring before patients reach two years of age.;Defects in GBA are the cause of Gaucher disease type 3 (GD3) [MIM:231000]; also known as subacute neuronopathic. GD3 has central nervous manifestations.;Defects in GBA are the cause of Gaucher disease type 3C [MIM:231005]; also known as pseudo-Gaucher disease or Gaucher-like disease.;Defects in GBA are the cause of perinatal lethal Gaucher disease [MIM:608013]. It is a distinct form of Gaucher disease type 2, characterized by fetal onset. Hydrops fetalis, in utero fetal death and neonatal distress are prominent features. When hydrops is absent, neurologic involvement begins in the first week and leads to death within 3 months. Hepatosplenomegaly is a major sign, and is associated with ichthyosis, arthrogryposis, and facial dysmorphism.;Perinatal lethal Gaucher disease is associated with non- immune hydrops fetalis [MIM:236750]. Hydrops fetalis is a generalized edema of the fetus with fluid accumulation in the body cavities.;Defects in GBA may be a risk factor in the development of Parkinson disease (PD) [MIM:168600]. Simultaneous occurrence of Parkinson disease and Gaucher disease is marked by atypical parkinsonism generally presenting by the fourth through sixth decades of life. The combination progresses inexorably and is refractory to conventional anti-Parkinson therapy.",Gaucher disease
1m9z_v,3,2.726,0.9086,0.949445,0,1,2,0,0,0,TGF-beta receptor type-2,HORMONE/GROWTH FACTOR,TTR PALB,TGFR2_HUMAN,"On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional","Defects in TGFBR2 are the cause of hereditary non- polyposis colorectal cancer type 6 (HNPCC6) [MIM:190182]. Mutations in more than one gene locus can be involved alone or in combination in the production of the HNPCC phenotype (also called Lynch syndrome). Most families with clinically recognized HNPCC have mutations in either MLH1 or MSH2 genes. HNPCC is an autosomal, dominantly inherited disease associated with marked increase in cancer susceptibility. It is characterized by a familial predisposition to early onset colorectal carcinoma (CRC) and extra-colonic cancers of the gastrointestinal, urological and female reproductive tracts. HNPCC is reported to be the most common form of inherited colorectal cancer in the Western world, and accounts for 15% of all colon cancers. Cancers in HNPCC originate within benign neoplastic polyps termed adenomas. Clinically, HNPCC is often divided into two subgroups. Type I: hereditary predisposition to colorectal cancer, a young age of onset, and carcinoma observed in the proximal colon. Type II: patients have an increased risk for cancers in certain tissues such as the uterus, ovary, breast, stomach, small intestine, skin, and larynx in addition to the colon. Diagnosis of classical HNPCC is based on the Amsterdam criteria: 3 or more relatives affected by colorectal cancer, one a first degree relative of the other two; 2 or more generation affected; 1 or more colorectal cancers presenting before 50 years of age; exclusion of hereditary polyposis syndromes. The term suspected HNPCC or incomplete HNPCC can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. HNPCC6 is a type of colorectal cancer complying with the clinical criteria of HNPCC, except that the onset of cancer was beyond 50 years of age in all cases.;Defects in TGFBR2 are a cause of esophageal cancer [MIM:133239].;Defects in TGFBR2 are the cause of Loeys-Dietz syndrome type 1B (LDS1B) [MIM:610168]. LDS1 is an aortic aneurysm syndrome with widespread systemic involvement. The disorder is characterized by arterial tortuosity and aneurysms, craniosynostosis, hypertelorism, and bifid uvula or cleft palate. Other findings include exotropy, micrognathia and retrognathia, structural brain abnormalities, intellectual deficit, congenital heart disease, translucent skin, joint hyperlaxity and aneurysm with dissection throughout the arterial tree.;Defects in TGFBR2 are the cause of Loeys-Dietz syndrome type 2B (LDS2B) [MIM:610380]; formerly Marfan syndrome type 2. LDS2 is an aortic aneurysm syndrome with widespread systemic involvement. Physical findings include prominent joint laxity, easy bruising, wide and atrophic scars, velvety and translucent skin with easily visible veins, spontaneous rupture of the spleen or bowel, diffuse arterial aneurysms and dissections, and catastrophic complications of pregnancy, including rupture of the gravid uterus and the arteries, either during pregnancy or in the immediate postpartum period. LDS2 is characterized by the absence of craniofacial abnormalities with the exception of bifid uvula that can be present in some patients.;Defects in TGFBR2 are the cause of aortic aneurysm familial thoracic type 3 (AAT3) [MIM:610380]. Aneurysms and dissections of the aorta usually result from degenerative changes in the aortic wall. Thoracic aortic aneurysms and dissections are primarily associated with a characteristic histologic appearance known as medial necrosis or Erdheim cystic medial necrosis in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance. AAT3 is an autosomal dominant disorder with reduced penetrance and variable expression.",NONE
2roy_v,3,2.701,0.9005,0.868642,2,1,0,0,0,0,Transthyretin,TRANSPORT,NUDT9 NUDT10 PSEC0099 UNQ3012/PRO9771,TTHY_HUMAN,Thyroid hormone-binding protein. Probably transports thyroxine from the bloodstream to the brain.,"Defects in TTR are the cause of amyloidosis type 1 (AMYL1) [MIM:176300]. AMYL1 is a hereditary generalized amyloidosis due to transthyretin amyloid deposition. Protein fibrils can form in different tissues leading to amyloid polyneuropathies, amyloidotic cardiomyopathy, carpal tunnel syndrome, systemic senile amyloidosis.;Defects in TTR are the cause of amyloidosis type 7 (AMYL7) [MIM:105210]; also known as leptomeningeal amyloidosis or meningocerebrovascular amyloidosis. AMYL7 is a form of hereditary transthyretin amyloidosis characterized by primary involvement of the central nervous system. Neuropathologic examination shows amyloid in the walls of leptomeningeal vessels, in pia arachnoid, and subpial deposits. Some patients also develop vitreous amyloid deposition that leads to visual impairment (oculoleptomeningeal amyloidosis). Clinical features include seizures, stroke-like episodes, dementia, psychomotor deterioration, variable amyloid deposition in the vitreous humor. Mild systemic amyloidosis may occurr.;Defects in TTR are a cause of hyperthyroxinemia [MIM:176300].",NONE
1q33_v,3,2.661,0.887,0.666539,0,0,3,0,0,0,"ADP-ribose pyrophosphatase, mitochondrial",NONE,CA1,Q9BW91,Involved in hydrolase activity,NONE,NONE
1czm_v,3,2.653,0.8842,0.781997,1,1,1,0,0,0,Carbonic anhydrase 1,LYASE(OXO-ACID),GSTP1 FAEES3 GST3,CAH1_HUMAN,Reversible hydration of carbon dioxide.,NONE,NONE
1lbk_v,3,2.647,0.8822,0.632139,1,2,0,0,0,0,Glutathione S-transferase P,TRANSFERASE,AMY1A AMY1,GSTP1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE
1smd_v,3,2.616,0.872,0.76458,0,2,1,0,0,0,Alpha-amylase 1,NONE,AMY1B AMY1,P04745,Carbohydrate transport and metabolism,NONE,NONE
2ohs_v,3,2.581,0.8604,0.661428,1,0,2,0,0,0,Beta-secretase 1,HYDROLASE,AMY1C AMY1,BACE1_HUMAN,"Responsible for the proteolytic processing of the amyloid precursor protein (APP). Cleaves at the N-terminus of the A-beta peptide sequence, between residues 671 and 672 of APP, leads to the generation and extracellular release of beta-cleaved soluble APP",NONE,Alzheimers disease
1ozn_v,3,2.578,0.8594,0.710081,0,2,1,0,0,0,Reticulon-4 receptor,SIGNALING PROTEIN,BACE1 BACE KIAA1149,RTN4R_HUMAN,"Receptor for RTN4, OMG and MAG. Mediates axonal growth inhibition and may play a role in regulating axonal regeneration and plasticity in the adult central nervous system.",NONE,Brain injury;Cerebrovascular ischemia;Glaucoma;Spinal cord injury;Parkinsons disease;Multiple sclerosis;Nervous system injury
